Date,Close/Last,Volume,Open,High,Low
09/24/2021,$163.04,10102430,$161.44,$163.59,$160.82
09/23/2021,$161.18,12336140,$158,$161.71,$157.67
09/22/2021,$155.91,11236150,$155.2,$157.25,$155.1
09/21/2021,$152.98,8999860,$153.53,$154.55,$152.5774
09/20/2021,$152.96,15819910,$153.89,$154.56,$150.49
09/17/2021,$157.68,25608020,$157.38,$159.01,$157
09/16/2021,$158.09,10880900,$159.41,$160.855,$157.22
09/15/2021,$158.16,11691490,$156.72,$158.69,$156.47
09/14/2021,$157.07,11685610,$160.45,$161.34,$156.26
09/13/2021,$159.86,10052810,$158.53,$160.05,$158.07
09/10/2021,$157.36,8311551,$160.56,$160.7193,$157.22
09/09/2021,$159.19,7904256,$158.27,$160.8325,$158.08
09/08/2021,$158.5,7852678,$158.89,$159.58,$158.04
09/07/2021,$159.21,9290968,$159.99,$161.3814,$158.96
09/03/2021,$159.49,7961223,$160.39,$160.89,$159.145
09/02/2021,$160.46,8815634,$160.02,$161.61,$159.43
09/01/2021,$159.72,8729920,$160.22,$160.76,$158.97
08/31/2021,$159.95,12340840,$160.44,$161.37,$159.35
08/30/2021,$160.44,7937561,$163.21,$163.49,$159.8801
08/27/2021,$163.05,8780185,$161.75,$163.16,$161.26
08/26/2021,$161.75,11027450,$162.26,$163.83,$161.15
08/25/2021,$160.92,11335040,$158.51,$161.78,$157.8
08/24/2021,$157.67,7670925,$157,$158.55,$156.87
08/23/2021,$156.7,7934587,$155.33,$157.09,$155.24
08/20/2021,$154.72,6974102,$154.35,$154.9,$153.16
08/19/2021,$154.28,9517737,$153.16,$155.56,$153.01
08/18/2021,$155.58,8065493,$156.31,$158.01,$155.34
08/17/2021,$157.01,9347213,$157.57,$158.86,$155.27
08/16/2021,$158.93,8759767,$158.94,$159.03,$156.78
08/13/2021,$159.98,8980903,$161.79,$162.16,$159.57
08/12/2021,$161.79,8849610,$161.88,$162.37,$160.5539
08/11/2021,$161.16,9156458,$160,$161.5,$159.08
08/10/2021,$159.26,8666998,$156.74,$159.975,$156.31
08/09/2021,$157.33,9516867,$157.52,$158.55,$155.9
08/06/2021,$157.5,13328750,$155.19,$157.82,$155.11
08/05/2021,$153.15,9151499,$152.28,$153.69,$152.01
08/04/2021,$151.24,10154970,$151.25,$153.37,$150.91
08/03/2021,$152.89,10394800,$151.95,$153.32,$149.52
08/02/2021,$151.17,10203160,$152.03,$154.45,$151.07
07/30/2021,$151.78,9805241,$152.58,$153.67,$151.2
07/29/2021,$153,9063531,$153.14,$153.87,$151.91
07/28/2021,$151.7,9217294,$152.29,$152.77,$150.88
07/27/2021,$151.45,11218730,$150.4,$152.49,$149.8
07/26/2021,$151.65,8207990,$150.19,$151.96,$150.17
07/23/2021,$150.64,9666101,$151.48,$152.84,$150.25
07/22/2021,$150.93,9913322,$152.88,$153.44,$149.97
07/21/2021,$152.86,12356690,$152.05,$153.65,$151.36
07/20/2021,$149.71,15385160,$146.52,$151.12,$146.3278
07/19/2021,$146.97,22172870,$148.55,$149.823,$145.71
07/16/2021,$151.91,14002740,$155.96,$156.28,$151.02
07/15/2021,$155.46,11539260,$153.9,$156.53,$153.7
07/14/2021,$155.12,14622830,$155.95,$157.28,$152.95
07/13/2021,$155.65,22671740,$156.05,$157.39,$153.5001
07/12/2021,$158,19940360,$154.35,$159.1612,$153.94
07/09/2021,$155.77,13694520,$153.05,$156.15,$152.58
07/08/2021,$150.94,17834570,$151.61,$152.53,$150.04
07/07/2021,$153.59,12271790,$152.01,$154.2829,$151.55
07/06/2021,$153.41,15083360,$155.78,$155.78,$152.345
07/02/2021,$156.03,11431350,$155.95,$156.32,$155.12
07/01/2021,$157.08,10479390,$156.26,$157.14,$155.415
06/30/2021,$155.54,12530990,$153.75,$156.08,$153.7097
06/29/2021,$154.14,14528710,$155,$156.31,$153.61
06/28/2021,$154.33,14125840,$153.7,$154.48,$152.1203
06/25/2021,$154.05,15484920,$152.59,$154.495,$151.6686
06/24/2021,$152.51,13733190,$151.92,$153.12,$151.22
06/23/2021,$151.12,12733330,$150.2,$152.04,$150.09
06/22/2021,$150.21,14251160,$150.6,$150.97,$148.66
06/21/2021,$150.43,18664800,$149.08,$151.202,$149.0201
06/18/2021,$147.92,43595660,$149.3,$149.7,$147.56
06/17/2021,$151.76,29722420,$157.1,$157.46,$151.25
06/16/2021,$156.27,25321230,$154.73,$157.62,$153.11
06/15/2021,$155.18,24485480,$156.7,$156.92,$154.13
06/14/2021,$157.57,19917860,$160.15,$160.33,$156.655
06/11/2021,$160.29,13683770,$160.43,$161.199,$159.06
06/10/2021,$160.4,12119420,$164.36,$165.24,$160.31
06/09/2021,$162.94,12377370,$164.14,$164.22,$162.28
06/08/2021,$165,10370720,$164.49,$165.76,$163.1618
06/07/2021,$165.66,7267196,$167,$167.1,$165.14
06/04/2021,$166.44,8510831,$166.21,$166.67,$165.03
06/03/2021,$166.17,13354650,$165.41,$167.245,$164.661
06/02/2021,$166.06,10498570,$167.26,$167.44,$165.53
06/01/2021,$166.05,9445366,$165.87,$166.91,$165.48
05/28/2021,$164.24,10294700,$164.68,$164.94,$163.26
05/27/2021,$164.35,15707510,$163.95,$164.75,$162.57
05/26/2021,$161.83,13058340,$163.57,$163.74,$161.305
05/25/2021,$161.85,12609080,$163.85,$165.7,$161.56
05/24/2021,$163.54,9440290,$163.36,$164.225,$162.1189
05/21/2021,$162.66,10248990,$161.34,$163.223,$160.94
05/20/2021,$160.83,10426010,$160.83,$161.86,$159.52
05/19/2021,$161.11,13278900,$161,$161.18,$158.64
05/18/2021,$162.35,11098120,$164.68,$165.5,$162.24
05/17/2021,$164.67,9883458,$163.37,$164.85,$163.03
05/14/2021,$164.01,10583980,$162.39,$164.45,$161.99
05/13/2021,$161.5,15397360,$158.18,$162.445,$157.68
05/12/2021,$157.45,14381730,$159.61,$160.78,$157.03
