,date,username,tweet
0,2021-09-25 22:35:54,Google,"@feelix009 Thanks, Vishal. Appreciate you taking the time to share feedback. 😊 Keep us posted with your thoughts on the Phone app."
1,2021-09-25 03:15:00,Google,"Congratulations to Googler Marian Croak! The National Inventors Hall of Fame is honoring her advancement of the technology that powers online calls and video chats (i.e., how we all stayed connected through the pandemic).  https://t.co/9x3iw94jF6"
2,2021-09-25 00:26:40,Google,"@oblawu Hi William. Are you getting a specific error message? Without revealing your email address, give us the exact wording &amp; we'll try and point you in the right direction. This guide may also help:  https://t.co/2onqlsMNnL."
3,2021-09-25 00:26:21,Google,@vkjpandey Hi Vinod. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.
4,2021-09-25 00:25:44,Google,@queenchasssssx Hi there. Do you have 2-Step Verification enabled? Try these tips if you're unable to receive a code:  https://t.co/QBOhSKbnaq. Keep us posted.
5,2021-09-25 00:24:55,Google,@MixSaver Hi there. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.
6,2021-09-25 00:24:10,Google,@aditya_kj14 Hi Aditya. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.
7,2021-09-25 00:23:48,Google,@NishantNandan15 Hi Nishant. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.
8,2021-09-25 00:23:18,Google,@mdlviii Hi there. Have you already tried recovering your account by completing the steps here:  https://t.co/CJQaJUw3RV? These tips may help:  https://t.co/vQSZijYFh6. Let us know.
9,2021-09-25 00:22:58,Google,@faisalbaba619 Hi Faisal. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.
10,2021-09-25 00:21:58,Google,@PakNatural1 Hi there. Have you already tried recovering your Google account by completing the steps here:  https://t.co/CJQaJUw3RV? These tips may help:  https://t.co/vQSZijYFh6. Let us know.
11,2021-09-25 00:21:17,Google,@SamerA29669657 Hi Samer. Have you already tried recovering your account by completing the steps here:  https://t.co/CJQaJUw3RV? These tips may help:  https://t.co/vQSZijYFh6. Let us know.
12,2021-09-24 23:49:33,Google,"@starrysailor_ Hi there. Without revealing your email address, tell us more about what's going on with your Google account. We'll see what we can do to help."
13,2021-09-24 23:49:02,Google,"@BusinesIlyas Mind if we jump in? You can skip that step using ""Try another way"" but we suggest answering all questions as best as you can. Keep us posted."
14,2021-09-24 23:47:13,Google,@sanjay45156342 Hi Sanjay. Let's see what we can do to help. Look out for a DM with next steps.
15,2021-09-24 23:41:59,Google,"@ThatJimiDude Hi Jimi. Are you getting a specific error message? Without revealing your email address, give us the exact wording &amp; we'll try and point you in the right direction. This guide may also help:  https://t.co/2onqlsMNnL."
16,2021-09-24 23:41:11,Google,@unknown_557 Hi Callum. Try these tips if you're unable to receive your 2-Step Verification code:  https://t.co/QBOhSKbnaq. Keep us posted.
17,2021-09-24 23:36:58,Google,@LegendaryLou Hi there. Have you already tried recovering your account by completing the steps here:  https://t.co/CJQaJUestl? These tips may help:  https://t.co/vQSZikgg8E. Let us know.
18,2021-09-24 23:33:04,Google,@HemuG9 Hi Hemu. We'd like to move this conversation to DM. Please follow us and let us know when you have so we can share next steps.
19,2021-09-24 23:31:20,Google,"@sumitkat1996 Mind if we jump in, Sumit? Are you getting a specific error message when you try signing into your Google account? Without revealing your email address, give us the exact wording &amp; we'll try and point you in the right direction. This guide may also help:  https://t.co/2onqlsvbZb."
20,2021-09-24 23:30:31,Google,"This year’s #GlobalCitizenLive festival kicks off on September 25 at 1 pm ET, featuring 70+ artists performing in 15 cities across 7 continents. Watch the 24-hour show on @YouTube:  https://t.co/AG63OdcwLu  https://t.co/zyyQpjAJ2C"
21,2021-09-24 23:08:00,Google,@amritKa59896096 Hi Amrit. Have you already tried recovering your account by completing the steps here:  https://t.co/CJQaJUestl? These tips may help:  https://t.co/vQSZikgg8E. Let us know.
22,2021-09-24 22:56:13,Google,"@blshiiys Hi there. Are you getting a specific error message when you try signing into your Google account? Without revealing your email address, give us the exact wording &amp; we'll try and point you in the right direction. This guide may also help:  https://t.co/2onqlsvbZb."
23,2021-09-24 22:50:33,Google,"@mine_takeda Hi there. Without revealing your email address, tell us more about what's going on with your account. We'll see what we can do to help."
24,2021-09-24 22:45:26,Google,"Several images from #BuenCamino, courtesy of the Regional Government of Galicia, Spain:  1. Vineyards on the banks of the river Miño 2. Cows in the region of Terra Chá 3. The Camino in San Breixo de Parga 4. Pilgrim monument at Monte de Gozo  See more:  https://t.co/9JBzlEmcgF  https://t.co/NKjGANnrvY"
25,2021-09-24 22:45:24,Google,@RamanMourya14 Hi Raman. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.
26,2021-09-24 22:45:00,Google,"For centuries, people have gone on pilgrimage on the Camino de Santiago. Explore the trail virtually with #BuenCamino:  https://t.co/9JBzlEmcgF   Created by @Xunta  and @googlearts, in collaboration with @GobAragon, @CatedralStgo, @camino_xacobeo  and @Federacion_CS"
27,2021-09-24 22:27:10,Google,@Radhika96565212 Let's see what we can do to help. Look out for a DM with next steps.
28,2021-09-24 22:10:26,Google,"@viratsf765 Hi there. Just to confirm, have you already tried recovering your account using the steps here:  https://t.co/CJQaJUw3RV? These tips may help:  https://t.co/vQSZijYFh6. Let us know."
29,2021-09-24 21:58:56,Google,"@SweetKitty1991 Hmm. You can skip that step using ""Try another way"" but we suggest answering all questions as best as you can. Keep us posted."
30,2021-09-24 21:57:10,Google,@Tanmays70039138 Hmm. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.
31,2021-09-24 21:55:46,Google,@Myles55686849 Hmm. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.
32,2021-09-24 21:52:20,Google,Discover how Google Search is innovating to keep up with the world's evolving questions next week at #SearchOn ‘21.   Tap below to set a reminder for our livestream on September 29 at 10 AM PT.   https://t.co/bX1qf252JM
33,2021-09-24 21:40:22,Google,@RanveerHundal Hmm. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.
34,2021-09-24 21:24:40,Google,"@AmosKir22856628 Hi Amos. You can skip that step using ""Try another way"" but we suggest answering all questions as best as you can. Keep us posted."
35,2021-09-24 21:19:08,Google,@code_bane Hmm. Let's see what we can do to help. Look out for a DM with next steps.
36,2021-09-24 20:48:51,Google,@SwatiBaghel13 Hmm. Let's see what we can do to help. Please follow us and let us know when you have so we can share next steps through DM.
