,date,username,tweet
0,2021-09-27 01:35:48,YahooFinance,Nike still confident despite revising short-term outlook due to supply chain issues  https://t.co/fIT6YO3ULl by @ReggieWade  https://t.co/rJCTh52MQ8
1,2021-09-27 00:48:27,YahooFinance,Credit Agricole offers to buy auto leasing company Olinn for 100 million euros: Les Echos  https://t.co/Rg7rQHZVgp  https://t.co/1QpE4RSxSN
2,2021-09-27 00:24:55,YahooFinance,China steps up funding oversight of Evergrande property projects: Caixin  https://t.co/uN3QnI6UvX  https://t.co/FrHtOe8tqz
3,2021-09-27 00:00:40,YahooFinance,U.K.'s Wise to join the New Payments Platform in Australia  https://t.co/2cHNtx8ANm  https://t.co/PqICcDp6QS
4,2021-09-26 23:40:13,YahooFinance,Prudential plans to raise $2.4 billion from Hong Kong offer  https://t.co/rLumyDoKW4 via @business  https://t.co/p5LZ3aTOip
5,2021-09-26 23:14:41,YahooFinance,Google to slash amount it keeps from sales on its cloud marketplace: CNBC  https://t.co/bAeUXpAM5c  https://t.co/hTBxtLn27f
6,2021-09-26 23:02:13,YahooFinance,"Pelosi says U.S. infrastructure bill will pass, eyes smaller social spending bill  https://t.co/przfiyCaBw  https://t.co/elF4tttk3n"
7,2021-09-26 22:44:59,YahooFinance,"Tesla Shanghai to make 300,000 cars Jan-Sept despite chip shortage: Reuters  https://t.co/scEcXZwWb2  https://t.co/84oYxj2E1Q"
8,2021-09-26 22:33:22,YahooFinance,This week in Bidenomics: Those slippery billionaires  https://t.co/Zc94g9V4Lr by @rickjnewman  https://t.co/MzJms9UeVM
9,2021-09-26 21:41:56,YahooFinance,SALT: Here's how lawmakers could alter key contentious tax rule  https://t.co/MowNxXneyj by @benwerschkul  https://t.co/nY3SrT81H9
10,2021-09-26 21:14:30,YahooFinance,Americans are going to extreme lengths to buy a car amid lingering shortage  https://t.co/XrAk1zThUQ by @veragibbons  https://t.co/6zIIsFtL56
11,2021-09-26 19:39:27,YahooFinance,Facebook and Ray-Ban’s Stories smart sunglasses solve one problem — but they have serious privacy implications  https://t.co/WBmojy0xpz by @DanielHowley  https://t.co/sqcgfH4vgr
12,2021-09-26 19:30:01,YahooFinance,Join us tomorrow for the Yahoo Finance All Markets Summit+: Crypto Investing from 12:00 pm ET - 1:30 pm ET as we bring together leaders and innovators in the world of blockchain and crypto.⁠  https://t.co/vwgIkY9ofG  https://t.co/LFoWk1qeRT
13,2021-09-26 07:51:34,YahooFinance,"Salesforce COO: 'If I started a company today, I'd start with my digital headquarters'  https://t.co/nMrQC84nHp by @AlexisTVNews  https://t.co/GiABPyJEex"
14,2021-09-26 07:28:20,YahooFinance,What is the debt ceiling: Yahoo U  https://t.co/fGEhQhvz3x by @bcheungz  https://t.co/qUhkKO4JQa
15,2021-09-26 05:14:26,YahooFinance,‘Wildly political’ environment around vaccine creates room for ‘new leadership’: 23andMe CEO  https://t.co/Q6w5gVnmW7 by @MaxZahn_ and @serwer  https://t.co/sdovdR30wv
16,2021-09-26 04:48:59,YahooFinance,CDC guidance exacerbates confusion over COVID-19 boosters  https://t.co/gvz95Jp54t by @AnjKhem  https://t.co/I2j3SMtNA4
17,2021-09-26 04:26:45,YahooFinance,"What Republicans are thinking in the debt-ceiling standoff, according to Gary Cohn  https://t.co/QNvLvjXRTm by @SeanaNSmith  https://t.co/4pteULXGTu"
18,2021-09-26 02:14:36,YahooFinance,The debt limit's 'X date' is likely to come soon after Oct. 15: New estimate  https://t.co/lhRYXuGCBm by @benwerschkul  https://t.co/XvVVk76wYr
19,2021-09-26 01:54:01,YahooFinance,6 cheap restaurant stocks that will fatten up your portfolio: analyst  https://t.co/Y341oQuiF9 by @BrianSozzi  https://t.co/FsBapudEro
20,2021-09-26 01:27:54,YahooFinance,Gary Cohn: 'We need to force people in many respects' back to work  https://t.co/cr6e7AT7UX by @Ajshaps  https://t.co/fYSFB5M0yj
21,2021-09-26 00:16:28,YahooFinance,"Crypto part of 'multigenerational change,' need to get the regulation right: Ex-CFTC chair  https://t.co/JZi9vsRun8 by @Jenniferisms  https://t.co/oPcZQqnO4B"
22,2021-09-25 23:55:47,YahooFinance,"Apple iPhone 13 and iPhone 13 Pro review: fantastic cameras, great battery life  https://t.co/oqVVRAG5ci by @DanielHowley  https://t.co/n26ftDmQxx"
23,2021-09-25 23:20:16,YahooFinance,Why NY's eviction ban 'does absolutely nothing' for landlords as rental crisis drags on  https://t.co/uwEy5wibnO by @daniromerotv  https://t.co/pnWlKCUC6u
24,2021-09-25 22:55:27,YahooFinance,"Vaccines: 'We forgot how bad these diseases are,' doctor explains  https://t.co/LuWKpl4YRi by @adrianambells  https://t.co/TFcXOU340K"
25,2021-09-25 22:31:19,YahooFinance,"Why 'Ted Lasso' Emmy boom may not let Apple TV+ catch up with Netflix, Disney  https://t.co/OCf1QwFMfn by @alliecanal8193  https://t.co/l8dg9ajq5J"
26,2021-09-25 22:06:32,YahooFinance,Demystifying crypto currency one month at a time  https://t.co/yj962SDbEc by @serwer and @MaxZahn_  https://t.co/iCjI2Rsrdj
27,2021-09-25 21:44:21,YahooFinance,Key to economic equity is 'digital equity' among businesses  https://t.co/GVVJ7xFLyd by @juleshyman  https://t.co/kA5XSKITgZ
28,2021-09-25 21:19:31,YahooFinance,Why Biden vaccine mandate provides ‘cover’ for corporate America  https://t.co/uFYjXO5q4K by @SibileTV  https://t.co/EPxVw4AuZe
